102E83310,07,1,2,1,5,1,8,11,38,51,55,3.821
102 83310,08,2,2,0,0,2,7,4,6,10,2,3.251
102E83310,09,2,0,0,0,0,1,6,13,39,9,3.794
102 83310,10,2,1,0,0,3,1,6,13,20,21,3.746
102 83310,11,1,3,1,5,1,10,6,12,16,13,3.462
102 83310,11,1,3,1,5,1,10,6,12,16,13,3.462
102E83310,12,8,0,1,5,2,11,10,32,38,35,3.562
102E83310,13,0,3,2,2,5,4,3,4,18,22,3.659
102E83310,14,1,0,1,0,1,1,4,10,18,32,3.934
102E83310,15,0,0,3,4,3,14,11,14,44,44,3.785
102E83310,16,1,1,1,0,0,2,9,18,14,20,3.758
102E83310,16,1,1,1,0,0,2,9,18,14,20,3.758
102E83310,17,2,0,1,0,3,3,13,29,62,67,3.919
102 83310,18,1,1,2,1,1,5,10,37,52,33,3.815
102 83310,19,0,3,5,3,6,7,11,25,37,35,3.686
102 83310,19,0,3,5,3,6,7,11,25,37,35,3.686
102 83310,20,0,2,3,6,3,9,7,16,59,76,3.886
102E83310,21,0,0,0,0,0,4,3,8,17,13,3.898
102E83310,22,4,1,4,2,4,9,25,56,43,18,3.561
102E83310,23,2,2,1,2,5,7,32,53,56,15,3.627
102E83310,23,2,2,1,2,5,7,32,53,56,15,3.627
102 83310,24,0,1,1,1,3,1,9,6,15,23,3.798
102 83310,24,0,1,1,1,3,1,9,6,15,23,3.798
102E83310,25,2,4,3,2,8,11,24,42,26,21,3.503
102E83310,25,2,4,3,2,8,11,24,42,26,21,3.503
102E83310,25,2,4,3,2,8,11,24,42,26,21,3.503
102 83310,27,2,0,1,7,7,8,31,33,28,20,3.528
102 83310,27,2,0,1,7,7,8,31,33,28,20,3.528
102 83310,27,2,0,1,7,7,8,31,33,28,20,3.528
102E83310,28,0,1,0,2,1,0,5,6,12,21,3.875
102E83310,28,0,1,0,2,1,0,5,6,12,21,3.875
102E83310,29,6,0,2,5,3,5,17,27,37,25,3.544
102E83310,29,6,0,2,5,3,5,17,27,37,25,3.544
102E83310,29,6,0,2,5,3,5,17,27,37,25,3.544
